,feature,class
294,"[-4.0837329e+02  1.8501456e+02 -1.2096437e+01  1.7276159e+01
  3.4750191e+01 -2.1578558e+01 -6.6412172e+00  1.1412828e+01
 -1.5222812e+01 -7.0076194e+00  5.6422772e+00 -8.8547077e+00
 -4.1124315e+00  1.6337535e+00 -8.9716749e+00 -4.9171343e+00
 -1.1204616e+00 -8.6906471e+00 -5.4254546e+00 -2.6478426e+00
 -7.2236896e+00 -3.9292049e+00 -2.0744355e+00 -5.7122912e+00
 -4.6670432e+00 -4.9233603e+00 -5.9628525e+00 -3.2547026e+00
 -5.4575458e+00 -8.1483841e+00 -4.5904417e+00 -4.3588099e+00
 -6.2025132e+00 -3.9482772e+00 -3.8939984e+00 -4.9821248e+00
 -2.3362124e+00 -5.4884702e-01  3.2861989e-03  2.1208453e+00]",akash
295,"[-411.4866     183.24393     -8.587969    19.027113    37.861706
  -16.762592    -6.668411    10.259689   -12.481969    -6.6259418
    3.0767982   -8.045046    -2.663221     1.1317072   -7.4567513
   -3.0031972   -1.1487137   -7.3827434   -3.8283732   -3.2023468
   -7.1449146   -3.363847    -3.1218832   -5.425948    -1.582253
   -2.799663    -6.766702    -3.8258674   -2.6085386   -4.8104634
   -4.828878    -5.3143644   -5.368064    -4.2734013   -4.7760005
   -4.143295    -3.3269296   -4.900087    -4.1368985   -1.8884764]",akash
296,"[ 6.2414191e+02  1.8854532e+02 -2.7423244e+01  1.3113735e+01
  3.8911491e+01 -1.8249136e+01 -7.3727145e+00  2.1515172e+00
 -1.9630157e+01 -1.1706222e+00  5.2862110e+00 -1.4167876e+01
 -4.7412534e+00  1.1364514e+00 -9.3129034e+00 -3.8191609e+00
 -8.5391361e-01 -4.9896803e+00 -1.4609495e+00 -3.7730811e+00
 -6.5384417e+00 -2.4218755e+00 -4.2493644e+00 -4.5590377e+00
 -2.2432449e+00 -6.9224563e+00 -6.0171452e+00 -2.3983092e+00
 -7.1749439e+00 -5.4495521e+00 -2.9786950e-01 -5.2483282e+00
 -6.1866837e+00 -1.7589053e+00 -4.5359941e+00 -6.1525407e+00
 -3.4550409e+00 -4.4587421e+00 -5.6814137e+00 -4.7307100e+00]",akash
297,"[-4.0193533e+02  1.8938710e+02 -2.2864998e+01  1.1048163e+01
  3.7368603e+01 -1.5564459e+01 -7.9374242e+00  5.7387352e-01
 -1.8231520e+01 -9.8829335e-01  4.5401239e+00 -1.3570191e+01
 -5.0763698e+00  5.8949155e-01 -8.7919416e+00 -4.2288647e+00
 -1.1872438e+00 -4.2375627e+00 -1.7732251e+00 -4.2987480e+00
 -5.9125504e+00 -2.4105463e+00 -4.5995560e+00 -4.1498251e+00
 -2.2860804e+00 -7.2615614e+00 -5.7671161e+00 -2.4460144e+00
 -7.4851046e+00 -5.3155804e+00 -2.1490501e-01 -5.3384013e+00
 -6.2304916e+00 -1.8887291e+00 -4.5110002e+00 -6.0988617e+00
 -3.6330745e+00 -4.4038491e+00 -5.5405765e+00 -4.8789744e+00]",akash
298,"[-4.0193347e+02  1.8928853e+02 -2.2740070e+01  1.1014922e+01
  3.7348808e+01 -1.5574007e+01 -7.9840970e+00  5.7659554e-01
 -1.8232727e+01 -1.0195900e+00  4.5374694e+00 -1.3571397e+01
 -5.0816169e+00  6.1149037e-01 -8.7889099e+00 -4.2329631e+00
 -1.1586779e+00 -4.2231607e+00 -1.7824650e+00 -4.2859874e+00
 -5.8956242e+00 -2.4208615e+00 -4.6207175e+00 -4.1608653e+00
 -2.2718315e+00 -7.2446828e+00 -5.7844248e+00 -2.4708998e+00
 -7.4907007e+00 -5.3268342e+00 -2.3819576e-01 -5.3618813e+00
 -6.2417393e+00 -1.8658077e+00 -4.4719186e+00 -6.0787253e+00
 -3.6272047e+00 -4.4020538e+00 -5.5428305e+00 -4.8813734e+00]",akash
299,"[-4.2371954e+02  1.9443954e+02 -2.4582275e+01  2.1862860e+01
  3.8652039e+01 -2.6072016e+01 -9.1942406e+00  4.3497667e+00
 -2.1798290e+01 -7.5605669e+00  1.6455451e-01 -1.4422356e+01
 -3.8804233e+00 -1.6434893e-01 -9.2271824e+00 -2.1861298e+00
 -2.1863346e-01 -4.2558265e+00 -1.7768406e+00 -4.7027216e+00
 -4.0982962e+00  2.5171134e-01 -4.4779744e+00 -3.3815925e+00
 -3.6809781e-01 -7.9176040e+00 -6.9812369e+00 -2.4723728e+00
 -8.7238035e+00 -6.8733382e+00 -3.2007220e-01 -5.0632615e+00
 -5.6640291e+00 -5.9808761e-01 -3.7900803e+00 -7.1791029e+00
 -5.9275613e+00 -5.9373374e+00 -5.6147618e+00 -4.7349300e+00]",akash
300,"[-4.1480057e+02  1.8754335e+02 -2.1971100e+01  1.1352667e+01
  4.0101429e+01 -1.2410616e+01 -3.2009504e+00  7.4256945e+00
 -1.8697035e+01 -5.7107134e+00  5.5115218e+00 -1.2248881e+01
 -5.7451982e+00  2.0267861e+00 -7.5911012e+00 -2.6436589e+00
 -9.6359843e-01 -8.2834110e+00 -7.4617416e-01 -3.0256461e-02
 -8.9208488e+00 -2.7822659e+00 -1.8072657e-01 -6.3973970e+00
 -1.4076426e+00 -1.5249608e-01 -6.9526343e+00 -3.2653713e+00
 -8.3895987e-01 -6.8309045e+00 -5.7819457e+00 -2.4580810e+00
 -4.5286293e+00 -4.5823283e+00 -3.4367285e+00 -3.6671112e+00
 -3.3636489e+00 -4.5243311e+00 -4.6795745e+00 -2.5872893e+00]",akash
301,"[-408.32404     190.66585     -29.592762     10.818652     36.612194
  -23.332275     -9.563861      5.340401    -19.035458     -3.8841271
    3.518577    -15.23395      -2.8692758     3.3197682   -12.246967
   -4.5778313     1.5855267    -8.995815     -5.0826106    -0.45808592
   -5.872683     -3.49237      -3.0941262    -8.118304     -5.4717407
   -4.0181894    -7.1163454    -5.4730163    -3.634719     -4.8866205
   -5.3323483    -4.9889364    -4.3976526    -5.1672344    -6.1553726
   -4.4988213    -4.5366964    -5.2208085    -1.2206322     1.2237207 ]",akash
302,"[-411.15234    190.92262    -27.867414    12.7903385   38.278744
  -18.719852    -5.8690414    3.811789   -20.264132    -3.3852866
    3.4642527  -14.4205475   -3.7367153    2.3210971   -8.706589
   -4.163581    -1.6683332   -5.7861753   -2.6279783   -4.5501413
   -5.5936723   -0.6219388   -3.1984842   -4.4905167   -2.2332094
   -6.128926    -5.4290137   -2.789211    -7.2331905   -5.492905
   -1.4278108   -5.780381    -5.8359213   -2.2381241   -4.877471
   -5.679242    -3.4304655   -4.3836765   -5.271478    -4.8710785]",akash
303,"[598.23816    165.74376    -19.1584       8.083357    36.796963
 -10.99001     -8.476476     6.845182    -9.26426     -3.2212567
   3.046263    -9.230611    -2.238429     5.2658644   -3.9906077
  -3.8778753   -1.4362942   -4.3807435   -0.81917834  -2.5783777
  -8.911173    -4.4605775   -1.7789462   -5.5561886   -4.048657
  -3.2699924   -5.5548215   -4.266676    -3.7823062   -4.105125
  -2.8609958   -4.7466373   -5.6559176   -3.1759574   -4.8466682
  -7.2523947   -4.9470444   -3.7150378   -4.2643294   -3.3096688 ]",akash
304,"[-429.46826    167.38054    -12.907552     5.084203    36.007935
   -6.894613   -10.826975     4.869605    -6.588627    -4.5297184
    1.6958467   -7.023054    -3.2430046    4.051897    -1.8330067
   -4.16471     -2.6918561   -3.1068602   -0.9749504   -3.4288046
   -8.004536    -4.6914015   -2.462371    -4.830457    -4.1109257
   -3.7381847   -5.324217    -4.702912    -4.0711637   -3.8671122
   -3.3871243   -4.762207    -5.116361    -3.857605    -5.348763
   -6.752307    -4.871274    -3.600496    -4.008692    -3.6640494]",akash
305,"[-429.49078     166.88972     -12.906509      5.014289     35.995144
   -6.8724737   -10.823427      4.9009023    -6.4960103    -4.4268675
    1.7137917    -7.050056     -3.2880116     4.0090094    -1.9020941
   -4.2827377    -2.8130138    -3.1957166    -0.96964234   -3.3758693
   -7.986921     -4.677353     -2.4426014    -4.8653       -4.2151723
   -3.8414907    -5.366453     -4.6847973    -4.0487156    -3.864318
   -3.3671014    -4.7393064    -5.1103153    -3.8569047    -5.3854094
   -6.814322     -4.8903065    -3.6027346    -4.0464764    -3.7253935 ]",akash
306,"[-494.29532     190.53801     -41.237217     11.446276     46.273277
  -15.074167     -3.871052     10.447185    -14.164851     -1.2025038
    5.982794    -10.476851     -0.75992554    4.519637     -5.7235856
   -0.9682503    -0.9612087    -6.5272484    -0.9673228    -3.2891235
   -8.345536     -2.4768164    -1.9145547    -3.922064     -1.2880951
   -4.1158934    -5.3252926    -1.3138149    -2.6209326    -3.7345645
   -1.8752489    -2.9580417    -2.2301605    -1.6592739    -6.3827605
   -7.8325067    -4.321863     -3.2001088    -4.3351374    -5.353629  ]",akash
307,"[-449.30963    162.04166     -7.723893     6.9914656   34.58111
   -4.4868336   -7.882615     3.9791527   -6.176909    -1.0868568
    1.2590699  -10.333805    -3.4820685    2.451648    -5.2013216
   -0.565214     1.7722378   -7.1057      -2.6664684    2.3649597
   -5.5596123   -5.5471954   -1.6906532   -6.131742    -5.363421
   -1.2480218   -3.8778687   -4.649981    -3.1503906   -5.0709753
   -4.681283    -2.6891913   -3.7099502   -3.8705544   -3.0445094
   -3.5668092   -3.6202025   -4.3551908   -5.6974244   -4.5790834]",akash
308,"[-4.4467773e+02  1.6587929e+02 -1.5665707e+01  6.4910464e+00
  3.2186443e+01 -1.6700619e+01 -1.1781793e+01  1.0402228e+01
 -8.1259546e+00 -9.2095737e+00  1.3628616e+00 -6.1219831e+00
 -2.8806357e+00  2.8526509e+00 -6.1980381e+00 -6.1196299e+00
 -7.6905733e-01 -5.3452382e+00 -6.7478538e+00 -4.9536214e+00
 -6.4104309e+00 -4.5159202e+00 -3.4401469e+00 -6.2316799e+00
 -5.8732982e+00 -5.0898266e+00 -5.5869994e+00 -3.8007038e+00
 -3.9215386e+00 -5.9945636e+00 -5.5194988e+00 -5.4325137e+00
 -6.3155370e+00 -5.6226730e+00 -4.8475108e+00 -3.4341128e+00
 -1.4199381e+00 -1.0895779e+00  1.7692041e-01  2.7657309e+00]",akash
309,"[-448.40436    160.92735    -10.298155     7.745704    32.772823
  -10.530047   -10.618754     6.174143    -5.4515543   -4.94682
   -1.3523046   -7.9104543   -1.8530827    2.1624315   -3.8180454
   -2.4243515   -2.475935    -5.37696     -1.6711862   -3.5200267
   -8.144476    -4.1773963   -3.3194447   -5.7410803   -2.8363776
   -3.479642    -6.6595817   -4.3366103   -3.344831    -4.481605
   -3.0940807   -3.722404    -5.3216286   -4.2646403   -4.7830124
   -6.1982265   -4.898603    -3.561039    -3.3946877   -2.8776314]",akash
310,"[ 6.2234821e+02  1.6527110e+02 -2.9084053e+01  1.0308746e+01
  3.2900700e+01 -2.6093424e+01 -1.2925124e+01  8.8899984e+00
 -1.1915845e+01 -3.6256788e+00  4.2505960e+00 -9.9161062e+00
 -1.6527487e+00  2.4434943e+00 -1.0224034e+01 -4.3441110e+00
 -1.5963957e-01 -8.4480734e+00 -3.8805914e+00 -4.8811564e-01
 -5.4217687e+00 -2.0834510e+00 -1.2355937e+00 -5.1731215e+00
 -2.7224433e+00 -4.0865321e+00 -7.6114721e+00 -3.6374114e+00
 -3.4288030e+00 -6.5243931e+00 -3.7007725e+00 -3.2820835e+00
 -5.9494967e+00 -4.7366776e+00 -4.5021381e+00 -5.4211912e+00
 -3.9299006e+00 -4.2065339e+00 -5.4343109e+00 -4.4845848e+00]",akash
311,"[-4.0344711e+02  1.6525040e+02 -2.4694244e+01  9.8049059e+00
  3.1504091e+01 -2.5145227e+01 -1.3623601e+01  8.2917986e+00
 -1.0820920e+01 -4.0657678e+00  3.3880975e+00 -9.4418230e+00
 -1.7709562e+00  2.1969028e+00 -9.7669592e+00 -4.4883523e+00
 -3.3838040e-01 -8.3496351e+00 -4.4604163e+00 -6.8996149e-01
 -5.0317850e+00 -2.3498762e+00 -1.3320206e+00 -4.8016715e+00
 -3.0341115e+00 -4.4604197e+00 -7.5177960e+00 -3.7987332e+00
 -3.6918433e+00 -6.7836022e+00 -4.0297732e+00 -3.1508055e+00
 -5.8842521e+00 -5.1822414e+00 -4.5309505e+00 -5.2870951e+00
 -4.3229499e+00 -4.3317156e+00 -5.2506928e+00 -4.6094189e+00]",akash
312,"[-4.0285474e+02  1.6565172e+02 -2.4587975e+01  9.8788729e+00
  3.1416298e+01 -2.5070448e+01 -1.3483702e+01  8.3696852e+00
 -1.0754301e+01 -4.0121007e+00  3.4685962e+00 -9.3557158e+00
 -1.8041937e+00  2.1057699e+00 -9.7918673e+00 -4.4412394e+00
 -2.3555247e-01 -8.2649193e+00 -4.4626098e+00 -7.1337521e-01
 -5.0250907e+00 -2.3169353e+00 -1.2715821e+00 -4.7531857e+00
 -2.9923747e+00 -4.4018855e+00 -7.5149493e+00 -3.8318789e+00
 -3.6679006e+00 -6.7585378e+00 -4.0163341e+00 -3.0710866e+00
 -5.8279881e+00 -5.2364488e+00 -4.6250167e+00 -5.3835530e+00
 -4.3725419e+00 -4.2647262e+00 -5.1643691e+00 -4.6010513e+00]",akash
313,"[-4.1532379e+02  1.9702716e+02 -3.0672808e+01  2.1439817e+01
  3.9892334e+01 -3.3283001e+01 -1.3238124e+01  9.6925440e+00
 -1.5474658e+01 -3.5247533e+00  2.1518173e+00 -1.3189806e+01
 -6.6047978e-01 -2.3731966e-01 -1.3203942e+01 -1.7803986e+00
 -1.6915301e+00 -1.2566487e+01 -2.8488269e+00 -7.8654841e-02
 -6.4727583e+00 -9.7816038e-01 -2.0683773e+00 -7.3696098e+00
 -3.4275234e+00 -5.3870153e+00 -8.1634312e+00 -2.9426835e+00
 -4.3433127e+00 -7.4423161e+00 -3.8501503e+00 -4.4094958e+00
 -6.7256689e+00 -5.0982804e+00 -5.2644668e+00 -5.4001098e+00
 -4.3060231e+00 -5.4362221e+00 -5.1084075e+00 -3.5380301e+00]",akash
314,"[-4.3397992e+02  1.6887737e+02 -1.3576305e+01  1.3168983e+01
  3.4813522e+01 -1.8695028e+01 -1.2101498e+01  7.7523885e+00
 -1.0775325e+01 -4.9750085e+00  3.7834773e+00 -9.8202276e+00
 -3.1774483e+00  4.8241148e+00 -6.9369063e+00 -5.2314186e+00
  6.6812649e-02 -7.2127333e+00 -5.0328765e+00 -1.1106701e+00
 -5.8000221e+00 -2.6651289e+00 -9.3996935e-02 -5.2687807e+00
 -2.6144345e+00  3.9214081e-01 -4.8288512e+00 -5.1692986e+00
 -2.9184723e+00 -5.0709147e+00 -4.9635048e+00 -4.1775126e+00
 -4.9615269e+00 -3.2335768e+00 -3.3489516e+00 -5.6076856e+00
 -4.4055791e+00 -3.9971347e+00 -5.4745493e+00 -4.1285295e+00]",akash
315,"[-4.26005035e+02  1.69686340e+02 -1.87748623e+01  1.03004351e+01
  2.47361832e+01 -2.88429260e+01 -9.34964561e+00  1.09952507e+01
 -1.42010508e+01 -6.57636547e+00  4.38866472e+00 -8.91658211e+00
 -3.38196516e+00 -2.82434523e-01 -1.14132395e+01 -4.80603027e+00
 -5.40874064e-01 -8.15721035e+00 -2.86475182e+00  8.89627114e-02
 -6.77772331e+00 -4.19467068e+00 -2.34421372e+00 -7.51099396e+00
 -6.52734756e+00 -4.65512037e+00 -5.83921337e+00 -4.73552513e+00
 -5.26470757e+00 -6.01313829e+00 -4.57607079e+00 -6.02263403e+00
 -6.27061749e+00 -3.60176444e+00 -4.85748243e+00 -6.09033108e+00
 -3.83795309e+00 -2.98659515e+00 -1.20636082e+00  2.74211884e+00]",akash
316,"[-428.401       166.42361     -14.132536     12.933896     28.676516
  -24.137993    -10.974374      8.719467    -11.83679      -5.9270687
    2.4511225    -8.692241     -1.4952662     2.0465949    -9.613683
   -5.253502     -0.99175453   -7.65509      -4.078284     -0.63625205
   -4.4929056    -2.704506     -2.1572742    -4.566923     -2.8257205
   -4.720193     -7.407449     -3.9615967    -4.0712385    -6.54723
   -3.9239876    -3.3933892    -5.9102044    -5.4721136    -4.8134036
   -4.9101796    -4.1166806    -4.364212     -4.794812     -4.379917  ]",akash
317,"[ 6.4383179e+02  1.7380937e+02 -3.3748291e+01  1.3095526e+01
  4.1773846e+01 -2.0220409e+01 -9.5259247e+00  9.7882376e+00
 -1.1800536e+01 -2.0987415e+00  3.7473912e+00 -1.2034130e+01
 -1.2943724e+00  4.6881948e+00 -7.4421868e+00 -2.1710303e+00
  9.8598175e-02 -8.0084171e+00 -3.3084128e+00 -2.4624925e+00
 -7.5689650e+00 -2.0194352e+00 -1.0798186e+00 -5.4033537e+00
 -2.2570162e+00 -3.1459372e+00 -6.6055036e+00 -3.1165476e+00
 -2.7901013e+00 -5.0331426e+00 -3.2843971e+00 -4.3839478e+00
 -6.4158087e+00 -4.6899090e+00 -4.5794697e+00 -5.1163473e+00
 -3.9668491e+00 -4.2008619e+00 -3.8666930e+00 -2.0513878e+00]",akash
318,"[-3.8092877e+02  1.7296814e+02 -2.9472836e+01  1.2654921e+01
  4.0565639e+01 -1.8835379e+01 -1.0164002e+01  8.7955236e+00
 -1.0499295e+01 -1.7559772e+00  3.0770886e+00 -1.1864839e+01
 -1.3716123e+00  4.6615801e+00 -7.0426512e+00 -2.5534084e+00
 -1.5117997e-01 -7.6054196e+00 -3.6214981e+00 -2.8460841e+00
 -7.3035493e+00 -2.1106005e+00 -1.2786841e+00 -5.3232732e+00
 -2.4717772e+00 -3.2230008e+00 -6.4742064e+00 -3.4567001e+00
 -3.0029824e+00 -4.8392458e+00 -3.3723011e+00 -4.4675245e+00
 -6.3416195e+00 -4.9660554e+00 -4.7921624e+00 -4.9990287e+00
 -4.0015655e+00 -4.2293639e+00 -3.8097913e+00 -2.3468273e+00]",akash
319,"[-3.81255768e+02  1.74054550e+02 -2.97807140e+01  1.30054493e+01
  4.06077385e+01 -1.89795704e+01 -9.97543430e+00  8.78197289e+00
 -1.06335745e+01 -1.67226517e+00  3.09637499e+00 -1.18935337e+01
 -1.27236986e+00  4.69479656e+00 -7.01932812e+00 -2.48121142e+00
 -1.54780939e-01 -7.56037617e+00 -3.53754783e+00 -2.88117027e+00
 -7.31871367e+00 -2.04683685e+00 -1.25343513e+00 -5.25726080e+00
 -2.39905286e+00 -3.24147701e+00 -6.42653990e+00 -3.33904266e+00
 -2.95878005e+00 -4.81034040e+00 -3.34637713e+00 -4.49229765e+00
 -6.33341026e+00 -4.92802334e+00 -4.76694012e+00 -4.93958330e+00
 -3.92515969e+00 -4.15982151e+00 -3.72774124e+00 -2.26449823e+00]",akash
320,"[-3.69513489e+02  2.21602859e+02 -6.14740715e+01  1.11271791e+01
  5.00932846e+01 -3.15275517e+01 -1.15680714e+01  1.06608543e+01
 -1.86828232e+01 -2.53924131e+00  2.74612093e+00 -1.52414465e+01
  2.19257116e+00  4.96947384e+00 -1.03643827e+01 -8.62203896e-01
 -7.16529131e-01 -8.02195549e+00 -1.35008603e-01 -5.32291555e+00
 -1.12255745e+01 -8.47623825e-01 -2.19152999e+00 -6.65084028e+00
 -1.31670058e+00 -4.82857800e+00 -7.96368599e+00 -2.81985712e+00
 -3.50957108e+00 -4.12826824e+00 -2.62350726e+00 -6.61734486e+00
 -7.24967623e+00 -4.85280037e+00 -6.12473249e+00 -4.95298767e+00
 -3.68388963e+00 -5.65253878e+00 -4.98694611e+00 -4.82096624e+00]",akash
321,"[-4.0251999e+02  1.7024188e+02 -1.8549215e+01  1.1785457e+01
  3.2065327e+01 -2.2026173e+01 -1.0099070e+01  9.3717337e+00
 -1.2750268e+01 -7.1209626e+00  2.4331357e+00 -9.1491833e+00
 -2.5676019e+00  2.3976388e+00 -8.4279938e+00 -5.4251919e+00
 -1.8145890e+00 -7.6952176e+00 -4.6620336e+00 -2.4755967e+00
 -5.6005926e+00 -2.6511734e+00 -3.0413396e+00 -7.0206652e+00
 -4.8789029e+00 -4.3707814e+00 -5.5866299e+00 -3.5196764e+00
 -4.9466138e+00 -7.0316486e+00 -5.2985606e+00 -5.7690430e+00
 -5.9418340e+00 -3.5726662e+00 -4.1225095e+00 -4.0523705e+00
 -9.5178074e-01  1.1441884e-01  1.1796762e+00  3.6890135e+00]",akash
322,"[-4.0763434e+02  1.6655624e+02 -1.2083174e+01  1.1833485e+01
  3.7716412e+01 -9.8153276e+00 -8.1795626e+00  6.3163648e+00
 -1.0106475e+01 -3.7618921e+00  3.0334878e+00 -1.0330197e+01
 -4.2810326e+00  2.7583497e+00 -6.3729177e+00 -2.1484876e+00
  1.9179996e+00 -6.8943501e+00 -3.9817939e+00  4.0215334e-01
 -6.4673052e+00 -5.3415060e+00 -1.2593731e+00 -4.7100859e+00
 -3.1435361e+00 -2.6974490e-01 -3.6698384e+00 -4.0867424e+00
 -3.1054544e+00 -4.9792013e+00 -3.9654198e+00 -2.7719252e+00
 -3.8958688e+00 -3.1605949e+00 -3.5504007e+00 -5.4900546e+00
 -4.4930630e+00 -3.9974391e+00 -5.1701946e+00 -4.1505771e+00]",akash
323,"[-408.00967    170.83408    -16.217834    13.496282    35.15918
  -17.231085    -9.426007     6.882323   -11.400173    -4.7869363
    1.0673277  -10.0983715   -2.2332437    2.0586421   -6.2620544
   -2.2488644   -1.9895388   -7.727586    -3.0892513   -3.4086607
   -7.3676567   -1.8300112   -1.2121568   -5.182934    -3.0559418
   -4.0874424   -6.5697255   -3.5600748   -3.2168984   -4.710297
   -3.5389361   -4.590248    -5.977126    -5.0304437   -5.0559945
   -4.8529973   -4.162989    -4.3675575   -3.1284266   -1.6581565]",akash
324,"[ 6.1599268e+02  1.6101900e+02 -2.5687836e+01  4.6018672e+00
  3.3284794e+01 -1.4050131e+01 -6.3962116e+00  1.0288288e+01
 -9.9915323e+00 -6.3941836e+00  1.3149672e+00 -7.7210069e+00
 -3.2648075e-01  3.3329623e+00 -6.2666512e+00 -2.4385414e+00
 -1.5115688e+00 -7.9989400e+00 -1.6930327e+00 -1.4620435e-01
 -7.7479601e+00 -4.4499192e+00 -1.3857266e+00 -4.9373555e+00
 -3.3412340e+00 -3.3531077e+00 -5.5739841e+00 -2.2209961e+00
 -2.3682859e+00 -5.4570136e+00 -2.8707314e+00 -2.4088192e+00
 -5.2208033e+00 -4.0352769e+00 -3.3777218e+00 -4.4387784e+00
 -3.2974012e+00 -3.4798410e+00 -4.5579004e+00 -3.1742296e+00]",akash
325,"[-4.11304535e+02  1.61984390e+02 -2.04222126e+01  2.74017525e+00
  3.18570938e+01 -1.14242115e+01 -7.29803467e+00  9.01841640e+00
 -8.07440186e+00 -6.65728283e+00  4.52748314e-02 -6.81555367e+00
 -4.98982251e-01  2.51806021e+00 -5.62255383e+00 -2.64085603e+00
 -2.22088027e+00 -7.56981564e+00 -1.62377107e+00 -2.76743174e-01
 -7.44532728e+00 -4.92333746e+00 -1.74852097e+00 -4.53100252e+00
 -3.72505713e+00 -4.00764847e+00 -5.52620077e+00 -2.39631128e+00
 -2.63749456e+00 -5.43291044e+00 -3.09350514e+00 -2.53766441e+00
 -5.23027134e+00 -4.36520004e+00 -3.41228247e+00 -4.30070162e+00
 -3.52776718e+00 -3.41555595e+00 -4.42811680e+00 -3.56607556e+00]",akash
326,"[-4.1073688e+02  1.6134970e+02 -2.0133720e+01  2.7287815e+00
  3.1730583e+01 -1.1274068e+01 -7.2879658e+00  8.9385147e+00
 -8.0333471e+00 -6.7098083e+00 -1.0287460e-02 -6.7355685e+00
 -4.9600542e-01  2.4775715e+00 -5.5711532e+00 -2.6150703e+00
 -2.2155554e+00 -7.5311255e+00 -1.6406465e+00 -3.1538677e-01
 -7.4563904e+00 -4.9493880e+00 -1.7225556e+00 -4.4560933e+00
 -3.7234018e+00 -4.0227695e+00 -5.4976773e+00 -2.4323101e+00
 -2.7260487e+00 -5.4555340e+00 -3.0581717e+00 -2.5038247e+00
 -5.2244124e+00 -4.3994026e+00 -3.4596913e+00 -4.3214941e+00
 -3.5032055e+00 -3.3619323e+00 -4.3964157e+00 -3.5598755e+00]",akash
327,"[-3.94613831e+02  1.90096527e+02 -1.84330273e+01  7.38874197e+00
  3.61973305e+01 -1.61834145e+01 -1.04236145e+01  8.71899414e+00
 -1.04474649e+01 -7.82479525e+00 -5.93901932e-01 -8.55233574e+00
 -1.00864553e+00  1.91876602e+00 -5.73474789e+00 -2.66609520e-01
 -1.38096642e+00 -8.31301212e+00 -1.33947283e-01  3.70796084e-01
 -8.86463451e+00 -4.92297029e+00 -2.05918980e+00 -6.38815117e+00
 -4.34636879e+00 -4.32732630e+00 -6.76193476e+00 -2.80270648e+00
 -2.32104158e+00 -4.79933500e+00 -2.20087743e+00 -3.03198314e+00
 -6.53475666e+00 -4.74603033e+00 -3.94804645e+00 -5.41931105e+00
 -4.15338135e+00 -3.87677002e+00 -5.45916224e+00 -5.74395657e+00]",akash
328,"[-436.5183      159.62141     -11.139676      4.67988      32.152645
   -6.9564085    -6.08648       8.184144     -7.4056225    -6.4459934
   -0.8562981    -9.464465     -2.5250149     3.4414942    -5.9152226
   -2.0786602     2.8250093    -7.3323784    -6.9141083     0.96522456
   -2.673052     -5.044258     -2.7457018    -4.4803305    -3.640096
   -1.6597123    -4.6898804    -5.064555     -2.250809     -2.826793
   -3.9452453    -3.5885925    -3.4250987    -2.823343     -3.0450115
   -4.137754     -3.8240356    -3.4224539    -3.6181774    -3.1829703 ]",akash
329,"[-4.2949136e+02  1.6071582e+02 -1.8920431e+01  5.0429645e+00
  2.9360537e+01 -1.6047308e+01 -7.7874308e+00  8.1434345e+00
 -1.4028817e+01 -9.9240379e+00  3.6292446e+00 -4.9136047e+00
 -3.5512021e+00  4.5947650e-01 -6.8654213e+00 -5.9877219e+00
 -3.1898289e+00 -5.2031755e+00 -2.7693694e+00 -4.5094061e+00
 -8.0548277e+00 -3.0245757e+00 -2.3857582e+00 -7.0701709e+00
 -4.7414708e+00 -2.6593451e+00 -4.8631020e+00 -4.7943382e+00
 -4.5659280e+00 -4.6365471e+00 -3.7549489e+00 -5.0268507e+00
 -5.2767091e+00 -3.2981234e+00 -4.0617261e+00 -4.8440990e+00
 -2.8213522e+00 -1.3146373e+00  3.6236316e-01  2.6252947e+00]",akash
330,"[-4.3362845e+02  1.5884030e+02 -1.4694816e+01  5.6749806e+00
  3.0197197e+01 -1.1552831e+01 -6.5772138e+00  7.3897352e+00
 -1.0719861e+01 -8.6120157e+00 -7.8676367e-01 -6.4181433e+00
 -5.3264481e-01  1.3470074e+00 -5.9116907e+00 -2.0655887e+00
 -2.7770596e+00 -8.4854889e+00 -1.4141922e+00  4.8450984e-02
 -7.8227129e+00 -5.3808742e+00 -2.1785738e+00 -5.2056346e+00
 -4.2385492e+00 -3.8434737e+00 -4.9907165e+00 -2.2750862e+00
 -3.0304077e+00 -5.9799476e+00 -3.7038081e+00 -2.7974441e+00
 -4.9508429e+00 -4.3659825e+00 -3.7007277e+00 -4.1418777e+00
 -3.5572758e+00 -3.9690166e+00 -4.4469309e+00 -3.2546828e+00]",akash
331,"[ 6.1859210e+02  1.8223949e+02 -3.7044895e+01  1.2018904e+01
  3.9127285e+01 -2.3908840e+01 -8.0677481e+00  1.0200602e+01
 -1.4907378e+01 -5.3472047e+00 -5.3192765e-01 -1.3759417e+01
  7.4129000e-02  2.4192288e+00 -1.0304393e+01 -1.8455530e+00
 -1.7920499e+00 -1.0183829e+01 -1.3587891e+00 -1.2751185e+00
 -9.0899525e+00 -3.6770542e+00 -2.8861425e+00 -6.5331631e+00
 -2.8476007e+00 -4.0738063e+00 -5.8734136e+00 -2.1323550e+00
 -3.7859187e+00 -4.7384424e+00 -1.9312474e+00 -5.1504636e+00
 -6.6711845e+00 -3.3235252e+00 -4.3348269e+00 -4.9826264e+00
 -3.2036905e+00 -4.5276747e+00 -4.2187433e+00 -1.7619795e+00]",akash
